,Unnamed: 0,Application,Images,Epochs,Batchsize,Jobs,GpuType,GpuNumber,ExecutionTime,min,max,Memory
121,121,pytorch_alexnet,130000,1500,1024,J12,M60,7,163739.177,77841.89228,574229.1548,12
122,122,pytorch_alexnet,130000,1500,1024,J12,K80,7,125806.0007,77841.89228,574229.1548,12
123,123,pytorch_alexnet,130000,1500,1024,J12,Quadro P600,7,125806.0007,77841.89228,574229.1548,12
124,124,pytorch_alexnet,130000,1500,1024,J12,GTX 1080Ti,8,197576.2893,77841.89228,574229.1548,12
125,125,pytorch_alexnet,130000,1500,1024,J12,M60,8,148509.0739,77841.89228,574229.1548,12
126,126,pytorch_alexnet,130000,1500,1024,J12,K80,8,104086.632,77841.89228,574229.1548,12
127,127,pytorch_alexnet,130000,1500,1024,J12,Quadro P600,8,104086.632,77841.89228,574229.1548,12
128,128,pytorch_alexnet,130000,2000,256,J14,GTX 1080Ti,1,259244.2903,29296.62317,825481.7682,6
129,129,pytorch_alexnet,130000,2000,256,J14,M60,1,337355.0380333722,29296.62317,825481.7682,6
130,130,pytorch_alexnet,130000,2000,256,J14,K80,1,327822.2473,29296.62317,825481.7682,6
131,131,pytorch_alexnet,130000,2000,256,J14,Quadro P600,1,825481.7682,29296.62317,825481.7682,6
132,132,pytorch_alexnet,130000,2000,256,J14,GTX 1080Ti,2,304292.3161,29296.62317,825481.7682,6
133,133,pytorch_alexnet,130000,2000,256,J14,M60,2,321140.52706066647,29296.62317,825481.7682,6
134,134,pytorch_alexnet,130000,2000,256,J14,K80,2,318011.2004,29296.62317,825481.7682,6
135,135,pytorch_alexnet,130000,2000,256,J14,Quadro P600,2,417567.0008,29296.62317,825481.7682,6
136,136,pytorch_alexnet,130000,2000,256,J14,GTX 1080Ti,3,312902.3458,29296.62317,825481.7682,6
137,137,pytorch_alexnet,130000,2000,256,J14,M60,3,305705.3445,29296.62317,825481.7682,6
138,138,pytorch_alexnet,130000,2000,256,J14,K80,3,299189.6218,29296.62317,825481.7682,6
139,139,pytorch_alexnet,130000,2000,256,J14,Quadro P600,3,199678.5255,29296.62317,825481.7682,6
140,140,pytorch_alexnet,130000,2000,256,J14,GTX 1080Ti,4,312402.8766,29296.62317,825481.7682,6
141,141,pytorch_alexnet,130000,2000,256,J14,M60,4,294407.4047,29296.62317,825481.7682,6
142,142,pytorch_alexnet,130000,2000,256,J14,K80,4,278115.4102,29296.62317,825481.7682,6
143,143,pytorch_alexnet,130000,2000,256,J14,Quadro P600,4,29296.62317,29296.62317,825481.7682,6
144,144,pytorch_alexnet,130000,2000,256,J14,GTX 1080Ti,5,308259.6077,29296.62317,825481.7682,6
145,145,pytorch_alexnet,130000,2000,256,J14,M60,5,280905.1714,29296.62317,825481.7682,6
146,146,pytorch_alexnet,130000,2000,256,J14,K80,5,256140.1455,29296.62317,825481.7682,6
147,147,pytorch_alexnet,130000,2000,256,J14,Quadro P600,5,256140.1455,29296.62317,825481.7682,6
148,148,pytorch_alexnet,130000,2000,256,J14,GTX 1080Ti,6,302294.4391,29296.62317,825481.7682,6
149,149,pytorch_alexnet,130000,2000,256,J14,M60,6,266300.7913,29296.62317,825481.7682,6
150,150,pytorch_alexnet,130000,2000,256,J14,K80,6,233714.3542,29296.62317,825481.7682,6
151,151,pytorch_alexnet,130000,2000,256,J14,Quadro P600,6,233714.3542,29296.62317,825481.7682,6
152,152,pytorch_alexnet,130000,2000,256,J14,GTX 1080Ti,7,295288.1848,29296.62317,825481.7682,6
153,153,pytorch_alexnet,130000,2000,256,J14,M60,7,251066.613,29296.62317,825481.7682,6
154,154,pytorch_alexnet,130000,2000,256,J14,K80,7,211031.1191,29296.62317,825481.7682,6
155,155,pytorch_alexnet,130000,2000,256,J14,Quadro P600,7,211031.1191,29296.62317,825481.7682,6
156,156,pytorch_alexnet,130000,2000,256,J14,GTX 1080Ti,8,287631.2521,29296.62317,825481.7682,6
157,157,pytorch_alexnet,130000,2000,256,J14,M60,8,235438.8109,29296.62317,825481.7682,6
158,158,pytorch_alexnet,130000,2000,256,J14,K80,8,188186.9817,29296.62317,825481.7682,6
159,159,pytorch_alexnet,130000,2000,256,J14,Quadro P600,8,188186.9817,29296.62317,825481.7682,6
160,160,pytorch_alexnet,130000,2000,512,J15,GTX 1080Ti,1,258460.2177,135251.3073,785142.7575,8
161,161,pytorch_alexnet,130000,2000,512,J15,M60,1,336909.75734468416,135251.3073,785142.7575,8
162,162,pytorch_alexnet,130000,2000,512,J15,K80,1,322247.6107,135251.3073,785142.7575,8
163,163,pytorch_alexnet,130000,2000,512,J15,Quadro P600,1,785142.7575,135251.3073,785142.7575,8
164,164,pytorch_alexnet,130000,2000,512,J15,GTX 1080Ti,2,300863.3625,135251.3073,785142.7575,8
165,165,pytorch_alexnet,130000,2000,512,J15,M60,2,315956.73648640513,135251.3073,785142.7575,8
166,166,pytorch_alexnet,130000,2000,512,J15,K80,2,309083.5608,135251.3073,785142.7575,8
167,167,pytorch_alexnet,130000,2000,512,J15,Quadro P600,2,368736.2558,135251.3073,785142.7575,8
168,168,pytorch_alexnet,130000,2000,512,J15,GTX 1080Ti,3,307239.1191,135251.3073,785142.7575,8
169,169,pytorch_alexnet,130000,2000,512,J15,M60,3,296306.8215,135251.3073,785142.7575,8
170,170,pytorch_alexnet,130000,2000,512,J15,K80,3,286409.3909,135251.3073,785142.7575,8
171,171,pytorch_alexnet,130000,2000,512,J15,Quadro P600,3,135251.3073,135251.3073,785142.7575,8
172,172,pytorch_alexnet,130000,2000,512,J15,GTX 1080Ti,4,304608.0286,135251.3073,785142.7575,8
173,173,pytorch_alexnet,130000,2000,512,J15,M60,4,281908.4735,135251.3073,785142.7575,8
174,174,pytorch_alexnet,130000,2000,512,J15,K80,4,261357.691,135251.3073,785142.7575,8
175,175,pytorch_alexnet,130000,2000,512,J15,Quadro P600,4,261357.691,135251.3073,785142.7575,8
176,176,pytorch_alexnet,130000,2000,512,J15,GTX 1080Ti,5,298374.1994,135251.3073,785142.7575,8
177,177,pytorch_alexnet,130000,2000,512,J15,M60,5,265299.1219,135251.3073,785142.7575,8
178,178,pytorch_alexnet,130000,2000,512,J15,K80,5,235354.9791,135251.3073,785142.7575,8
179,179,pytorch_alexnet,130000,2000,512,J15,Quadro P600,5,235354.9791,135251.3073,785142.7575,8
180,180,pytorch_alexnet,130000,2000,512,J15,GTX 1080Ti,6,290339.0007,135251.3073,785142.7575,8
181,181,pytorch_alexnet,130000,2000,512,J15,M60,6,247584.2686,135251.3073,785142.7575,8
182,182,pytorch_alexnet,130000,2000,512,J15,K80,6,208876.7612,135251.3073,785142.7575,8
183,183,pytorch_alexnet,130000,2000,512,J15,Quadro P600,6,208876.7612,135251.3073,785142.7575,8
184,184,pytorch_alexnet,130000,2000,512,J15,GTX 1080Ti,7,281274.44800000003,135251.3073,785142.7575,8
185,185,pytorch_alexnet,130000,2000,512,J15,M60,7,229237.7,135251.3073,785142.7575,8
186,186,pytorch_alexnet,130000,2000,512,J15,K80,7,182126.8256,135251.3073,785142.7575,8
187,187,pytorch_alexnet,130000,2000,512,J15,Quadro P600,7,182126.8256,135251.3073,785142.7575,8
188,188,pytorch_alexnet,130000,2000,512,J15,GTX 1080Ti,8,271566.5492,135251.3073,785142.7575,8
189,189,pytorch_alexnet,130000,2000,512,J15,M60,8,210496.3092,135251.3073,785142.7575,8
190,190,pytorch_alexnet,130000,2000,512,J15,K80,8,155207.0665,135251.3073,785142.7575,8
191,191,pytorch_alexnet,130000,2000,512,J15,Quadro P600,8,155207.0665,135251.3073,785142.7575,8
192,192,pytorch_alexnet,130000,2000,1024,J16,GTX 1080Ti,1,258053.7579,103450.2968,765337.9301,12
193,193,pytorch_alexnet,130000,2000,1024,J16,M60,1,337081.60327502905,103450.2968,765337.9301,12
194,194,pytorch_alexnet,130000,2000,1024,J16,K80,1,319491.7826,103450.2968,765337.9301,12
195,195,pytorch_alexnet,130000,2000,1024,J16,Quadro P600,1,765337.9301,103450.2968,765337.9301,12
196,196,pytorch_alexnet,130000,2000,1024,J16,GTX 1080Ti,2,299136.8493,103450.2968,765337.9301,12
197,197,pytorch_alexnet,130000,2000,1024,J16,M60,2,313526.3683935387,103450.2968,765337.9301,12
198,198,pytorch_alexnet,130000,2000,1024,J16,K80,2,304653.8897,103450.2968,765337.9301,12
199,199,pytorch_alexnet,130000,2000,1024,J16,Quadro P600,2,344690.1908,103450.2968,765337.9301,12
200,200,pytorch_alexnet,130000,2000,1024,J16,GTX 1080Ti,3,304389.7629,103450.2968,765337.9301,12
201,201,pytorch_alexnet,130000,2000,1024,J16,M60,3,291617.1714,103450.2968,765337.9301,12
202,202,pytorch_alexnet,130000,2000,1024,J16,K80,3,280053.652,103450.2968,765337.9301,12
203,203,pytorch_alexnet,130000,2000,1024,J16,Quadro P600,3,103450.2968,103450.2968,765337.9301,12
204,204,pytorch_alexnet,130000,2000,1024,J16,GTX 1080Ti,4,300685.132,103450.2968,765337.9301,12
205,205,pytorch_alexnet,130000,2000,1024,J16,M60,4,275664.7471,103450.2968,765337.9301,12
206,206,pytorch_alexnet,130000,2000,1024,J16,K80,4,253012.8279,103450.2968,765337.9301,12
207,207,pytorch_alexnet,130000,2000,1024,J16,Quadro P600,4,253012.8279,103450.2968,765337.9301,12
208,208,pytorch_alexnet,130000,2000,1024,J16,GTX 1080Ti,5,293397.4834,103450.2968,765337.9301,12
209,209,pytorch_alexnet,130000,2000,1024,J16,M60,5,257497.452,103450.2968,765337.9301,12
210,210,pytorch_alexnet,130000,2000,1024,J16,K80,5,224995.7694,103450.2968,765337.9301,12
211,211,pytorch_alexnet,130000,2000,1024,J16,Quadro P600,5,224995.7694,103450.2968,765337.9301,12
212,212,pytorch_alexnet,130000,2000,1024,J16,GTX 1080Ti,6,284318.326,103450.2968,765337.9301,12
213,213,pytorch_alexnet,130000,2000,1024,J16,M60,6,238222.7215,103450.2968,765337.9301,12
214,214,pytorch_alexnet,130000,2000,1024,J16,K80,6,196490.5936,103450.2968,765337.9301,12
215,215,pytorch_alexnet,130000,2000,1024,J16,Quadro P600,6,196490.5936,103450.2968,765337.9301,12
216,216,pytorch_alexnet,130000,2000,1024,J16,GTX 1080Ti,7,274215.4491,103450.2968,765337.9301,12
217,217,pytorch_alexnet,130000,2000,1024,J16,M60,7,218315.1708,103450.2968,765337.9301,12
218,218,pytorch_alexnet,130000,2000,1024,J16,K80,7,167706.4937,103450.2968,765337.9301,12
219,219,pytorch_alexnet,130000,2000,1024,J16,Quadro P600,7,167706.4937,103450.2968,765337.9301,12
220,220,pytorch_alexnet,130000,2000,1024,J16,GTX 1080Ti,8,263472.7477,103450.2968,765337.9301,12
221,221,pytorch_alexnet,130000,2000,1024,J16,M60,8,198012.1075,103450.2968,765337.9301,12
222,222,pytorch_alexnet,130000,2000,1024,J16,K80,8,138748.0662,103450.2968,765337.9301,12
223,223,pytorch_alexnet,130000,2000,1024,J16,Quadro P600,8,138748.0662,103450.2968,765337.9301,12
224,224,pytorch_alexnet,130000,500,256,J2,GTX 1080Ti,1,64832.98572999999,7477.859887,206500.5469,6
225,225,pytorch_alexnet,130000,500,256,J2,M60,1,84366.64671733123,7477.859887,206500.5469,6
226,226,pytorch_alexnet,130000,500,256,J2,K80,1,81990.57825,7477.859887,206500.5469,6
227,227,pytorch_alexnet,130000,500,256,J2,Quadro P600,1,206500.5469,7477.859887,206500.5469,6
228,228,pytorch_alexnet,130000,500,256,J2,GTX 1080Ti,2,76092.35253999999,7477.859887,206500.5469,6
229,229,pytorch_alexnet,130000,500,256,J2,M60,2,80311.62658517064,7477.859887,206500.5469,6
230,230,pytorch_alexnet,130000,500,256,J2,K80,2,79536.04485,7477.859887,206500.5469,6
231,231,pytorch_alexnet,130000,500,256,J2,Quadro P600,2,104526.382,7477.859887,206500.5469,6
232,232,pytorch_alexnet,130000,500,256,J2,GTX 1080Ti,3,78242.71874,7477.859887,206500.5469,6
233,233,pytorch_alexnet,130000,500,256,J2,M60,3,76451.50798,7477.859887,206500.5469,6
234,234,pytorch_alexnet,130000,500,256,J2,K80,3,74829.85582000001,7477.859887,206500.5469,6
235,235,pytorch_alexnet,130000,500,256,J2,Quadro P600,3,50063.24273,7477.859887,206500.5469,6
236,236,pytorch_alexnet,130000,500,256,J2,GTX 1080Ti,4,78115.83479,7477.859887,206500.5469,6
237,237,pytorch_alexnet,130000,500,256,J2,M60,4,73625.77612000001,7477.859887,206500.5469,6
238,238,pytorch_alexnet,130000,500,256,J2,K80,4,69560.75288,7477.859887,206500.5469,6
239,239,pytorch_alexnet,130000,500,256,J2,Quadro P600,4,7477.859887,7477.859887,206500.5469,6
240,240,pytorch_alexnet,130000,500,256,J2,GTX 1080Ti,5,77078.05077999999,7477.859887,206500.5469,6
241,241,pytorch_alexnet,130000,500,256,J2,M60,5,70249.04585,7477.859887,206500.5469,6
242,242,pytorch_alexnet,130000,500,256,J2,K80,5,64066.48438,7477.859887,206500.5469,6
243,243,pytorch_alexnet,130000,500,256,J2,Quadro P600,5,64066.48438,7477.859887,206500.5469,6
244,244,pytorch_alexnet,130000,500,256,J2,GTX 1080Ti,6,75584.81675,7477.859887,206500.5469,6
245,245,pytorch_alexnet,130000,500,256,J2,M60,6,66596.81637,7477.859887,206500.5469,6
246,246,pytorch_alexnet,130000,500,256,J2,K80,6,58459.6331,7477.859887,206500.5469,6
247,247,pytorch_alexnet,130000,500,256,J2,Quadro P600,6,58459.6331,7477.859887,206500.5469,6
248,248,pytorch_alexnet,130000,500,256,J2,GTX 1080Ti,7,73831.32555,7477.859887,206500.5469,6
249,249,pytorch_alexnet,130000,500,256,J2,M60,7,62787.15878,7477.859887,206500.5469,6
250,250,pytorch_alexnet,130000,500,256,J2,K80,7,52788.4488,7477.859887,206500.5469,6
251,251,pytorch_alexnet,130000,500,256,J2,Quadro P600,7,52788.4488,7477.859887,206500.5469,6
252,252,pytorch_alexnet,130000,500,256,J2,GTX 1080Ti,8,71915.17362999999,7477.859887,206500.5469,6
253,253,pytorch_alexnet,130000,500,256,J2,M60,8,58879.108620000006,7477.859887,206500.5469,6
254,254,pytorch_alexnet,130000,500,256,J2,K80,8,47077.05637,7477.859887,206500.5469,6
255,255,pytorch_alexnet,130000,500,256,J2,Quadro P600,8,47077.05637,7477.859887,206500.5469,6
256,256,pytorch_alexnet,130000,500,512,J3,GTX 1080Ti,1,64629.75586000001,34162.73745,196598.1332,8
257,257,pytorch_alexnet,130000,500,512,J3,M60,1,84266.47229238281,34162.73745,196598.1332,8
258,258,pytorch_alexnet,130000,500,512,J3,K80,1,80612.66419,34162.73745,196598.1332,8
259,259,pytorch_alexnet,130000,500,512,J3,Quadro P600,1,196598.1332,34162.73745,196598.1332,8
260,260,pytorch_alexnet,130000,500,512,J3,GTX 1080Ti,2,75229.09591,34162.73745,196598.1332,8
